Category,Capability,AOD,AAM,DCL,Convergence,NLQ,Farm,Platform,Console,Status,Scope,Notes,v8.2 Delta
Runtime,Worker pool management,I,I,I,,,I,,,Live,SE/ME,Scalable execution | AOA owns worker dispatch logic; Farm owns worker pool infra — see Scaling Infrastructure,
Scaling Infrastructure,Auto-recovery,,,,,,A/R,,,Live,SE/ME,,
Scaling Infrastructure,Load balancing,,,,,,A/R,,,Live,SE/ME,,
Scaling Infrastructure,Task queue management,,,,,,A/R,,,Live,SE/ME,Farm owns infra; AOA owns orchestration logic — see Runtime for AOA-managed scheduling,
Scaling Infrastructure,Worker pool orchestration,,,,,,A/R,,,Live,SE/ME,Farm owns worker pool infra; AOA owns dispatch logic — see Runtime,
Scheduling,Cron-based scheduling,,,,,,I,,A/R,On Docket,SE/ME,,
Scheduling,Event-driven triggers,,,,,,R,,A/R,On Docket,SE/ME,,
Scheduling,Webhook triggers,,,,,,R,,A,On Docket,SE/ME,,
Schema Ingestion,Demo Schema Loading,,,A/R,,I,I,,,Deprecated,SE/ME,fact_base.json and CSV demo schemas removed. Data enters via Farm → triple conversion → PG,
Schema Ingestion,Farm Schema Fetching,,,A/R,,I,C,,,Live,SE/ME,From FARM_API_URL,
Schema Ingestion,Stream Source Loading,,,A/R,,I,C,,,Live,SE/ME,Real-time sources from DB,
Security,Context Sanitization,,,,,,C,,,Cancelled,SE/ME,Security layer before Agent Logic,
Self-Healing,Connection/Fabric Drift Detection,,A/R,,,,I,,,Stub,SE/ME,Detects lost connectivity to Plane,
Self-Healing,Consumer Lag Detection,,A/R,,,,I,,,Stub,SE/ME,Event Bus specific drift,
Self-Healing,Execute Self-Heal (Restart Consumers),,A/R,,,,I,,,Stub,SE/ME,Restarts Consumers/Reconnects,
Self-Healing,Heal History Logging,,A/R,,,,I,,,Stub,SE/ME,Audit trail of repairs,
Self-Healing,Warehouse Suspend Detection,,A/R,,,,I,,,Stub,SE/ME,Warehouse specific drift,
Semantic Catalog,Alias Resolution,,,A/R,,C,I,,,Live,SE/ME,"'AR' → 'ar', 'attainment' → 'quota_attainment'",
Semantic Catalog,Dimension Definitions,,,A/R,,C,I,,,Live,SE/ME,"107 concepts across 9 enterprise domains (Business, Pipeline, Ops, Tech, HR, Finance, Sales, Product, Support)",
Semantic Catalog,Metric Definitions,,,A/R,,C,I,,,Live,SE/ME,325 valid concept-dimension pairings across CFO/CRO/COO/CTO/CHRO persona packs,
Semantic Catalog,Metric-Dimension Validation,,,A/R,,C,I,,,Live,SE/ME,Validates which dimensions apply to which concepts — 325 valid pairings enforced,
Semantic Catalog,Semantic Export API,,,A/R,,C,I,,,Live,SE/ME,Full catalog for NLQ consumption,
Semantic Intelligence,Concept Registry Management,,,A/R,,I,I,,,Live,SE/ME,107 concept nodes across 9 enterprise domains,
Semantic Intelligence,Concept-Dimension Pairing Validation,,,A/R,,I,,,,Live,SE/ME,325 valid pairings — enforced at graph build and query time,
Semantic Intelligence,Confidence Scoring,,,A/R,,C,,,,Live,SE/ME,0.0-1.0 confidence on concept-dimension mappings; propagated to NLQ answers,
Semantic Intelligence,Inference Layer (Graph-based Discovery),,,A/R,,C,I,,,Live,SE/ME,Approach 5 Layer 2 — graph traversal discovers implicit relationships between concepts,
Semantic Intelligence,Ontology Versioning,,,A/R,,I,,,,On Docket,SE/ME,Track ontology changes over time; not yet implemented,
Semantic Intelligence,Runtime Resolution (LLM Pathfinding),,,A/R,,C,I,,,Live,SE/ME,Approach 5 Layer 3 — LLM resolves ambiguous queries through semantic graph at query time,
Semantic Intelligence,Semantic Graph Build & Rebuild,,,A/R,,I,I,,,Live,SE/ME,POST /api/dcl/run — auto-trigger on ingest is On Docket (currently manual),
Semantic Intelligence,Skeleton Layer (Curated Ontology),,,A/R,,C,I,,,Live,SE/ME,"Approach 5 Layer 1 — hand-curated concept-dimension pairings, authoritative",
Semantic Mapping,Batch Mapping API,,,A/R,,I,I,,,Live,SE/ME,Bulk semantic mapping endpoint,
Semantic Mapping,Heuristic Mapping (Dev Mode),,,A/R,,I,I,,,Live,SE/ME,Pattern matching ~1s,
Semantic Mapping,LLM Refinement (Prod Mode),,,A/R,,I,I,,,Live,SE/ME,OpenAI + Pinecone RAG ~5s,
Semantic Mapping,Mapping Persistence,,,A/R,,I,I,,,Live,SE/ME,PostgreSQL storage,
Session Management,Row-Level Security,,,,,A/R,I,,,Live,SE/ME,Supabase RLS policies,
Session Management,Session State (In-Memory),,,,,A/R,I,,,Live,SE/ME,"Dashboard state, 2hr TTL",
Session Management,Session Stats Persistence,,,,,A/R,I,,,Live,SE/ME,Supabase storage,
Session Management,Tenant Isolation,,,,,A/R,I,,,Live,SE/ME,tenant_id on all DB queries,
SOR Identification,Data domain classification,A/R,,,,,C,,,Live,SE/ME,,
SOR Identification,System of Record scoring,A/R,,,,,C,,,Live,SE/ME,,
Source Normalization,Alias Resolution,,,A/R,,I,C,,,Live,SE/ME,,
Source Normalization,Discovery Mode (New Sources),,,A/R,,I,C,,,Live,SE/ME,,
Source Normalization,Pattern Matching,,,A/R,,I,I,,,Live,SE/ME,,
Source Normalization,Registry Loading,,,A/R,,I,C,,,Live,SE/ME,,
Tee Request Management,Approve/Reject Tee,,A/R,,,,I,,,Live,SE/ME,,
Tee Request Management,Create Tee Request,,A/R,,,,I,,,Live,SE/ME,,
Tee Request Management,Track Tee Status,,A/R,,,,I,,,Live,SE/ME,,
Telemetry,Metrics Collection,,,A/R,,,I,,,Live,SE/ME,,
Telemetry,Telemetry Broadcasting,,,A/R,,,I,,,Live,SE/ME,,
Telemetry,TPS/Quality Calculation,,,A/R,,,C,,,Live,SE/ME,,
Triage & Prioritization,Asset prioritization scoring,A/R,,,,,,,,Live,SE/ME,,
Triage & Prioritization,Provisioning status assignment,A/R,,,,,,,,Live,SE/ME,,
Triple Store,Domain-based organization (concept prefix),,,A/R,R,,,demo,C,Live,SE/ME,19 verified domains. First segment of concept name. Used for retrieval filtering,
Triple Store,Provenance tracking (per-triple),,,A/R,R,,C,,,Live,SE/ME,"source_system, source_field, confidence_score, confidence_tier, pipe_id, run_id, created_at",
Triple Store,"Semantic triple storage (entity, concept, property, value, period)",,,A/R,R,C,C,demo,C,Live,SE/ME,"All data as triples in Postgres. Dot-separated concept hierarchy. 9,350+ base + 124K BlueWave HR + 1,176 COFA",
Triple Store,Triple conversion (AAM output → PG),,A/R,C,,,,,,Live,SE/ME,"AAM converts pipe inference output (DeclaredPipes, connections, drift events, fabric planes) to mapping.* triples. Writes to PG via execute_values. Per SE Triples Conversion Build Plan.",
Triple Store,Triple conversion (AOD output → PG),A/R,,C,,,,,,Live,SE/ME,"AOD converts discovery scan output (assets, governance, SOR scores, findings, fabric planes) to discovery.* triples. Writes to PG via execute_values. Per SE Triples Conversion Build Plan.",
Triple Store,Triple conversion (Farm output),,,C,C,,A/R,,,Live,SE/ME,SE: Farm generates financial triples → orchestrator pushes to DCL HTTP ingest → semantic_triples. ME: Farm generates financial triples → pushes to Convergence backend → convergence_triples. DCL never receives ME Farm output.,
Triple Store,Triple ingest endpoint (POST /api/dcl/ingest-triples),,,A/R,R,,C,,,Live,SE/ME,Validates and writes triples to PG. Used for COFA write-back path,
Triple Store,V2 engine stack (8 engines on triple store),,,A/R,R,C,,,,Live,SE/ME,8 v2 engines reading from semantic triple store. Old JSON engines present via compat layer,
Trust & Security,Injection defense,,,,,,I,,,Cancelled,SE/ME,,
Trust & Security,PII detection & redaction,,,,,,I,,,Cancelled,SE/ME,,
Trust & Security,Policy enforcement,,,,,,C,,,Cancelled,SE/ME,,
Verification,Accuracy Measurement,C,C,,,,A/R,,,Live,SE/ME,Consolidated from Truth/Reconciliation per G2,
Verification,End-to-End Injection Tests,,I,I,I,,A/R,,,Live,SE/ME,"SE: Farm pushes to DCL via orchestrator, verifies at DCL. ME: Farm pushes to Convergence, verifies at Convergence.",
Verification,Generate Test Data,,I,,,,A/R,,,Live,SE/ME,,
Verification,Ground Truth Validation,C,C,C,,,A/R,,,Live,SE/ME,FARM is Test Oracle,
Verification,Provide Source of Truth,,C,,,,A/R,,,Live,SE/ME,,
Verification,Verify Against Truth,,C,,,,A/R,,,Live,SE/ME,,
Visualization,4-Layer Sankey Graph,,,A/R,,,I,,,Live,SE/ME,Pipeline→Sources→Ontology→Personas,
Visualization,Chart Generation,,,,,A/R,I,,,Live,SE/ME,"Line, bar, area, pie, stacked, waterfall",
Visualization,Dashboard Generation,,,,,A/R,I,,,Live,SE/ME,Dynamic widget schemas from intent,
Visualization,Dashboard Refinement Actions,,,,,A/R,I,,,Live,SE/ME,"'Add a chart', 'Show by region'",
Visualization,Galaxy Visualization,,,,,A/R,I,,,Live,SE/ME,Node-based with related metrics,
Visualization,Monitor Dashboard,,,,A/R,,I,,,Live,SE/ME,Collapsible right panel. Engagement Monitor moved from Platform to Convergence frontend.,
Visualization,Persona-Based Filtering,,,A/R,,,I,,,Live,SE/ME,CFO/CRO/COO/CTO buttons,
Visualization,Telemetry Ribbon,,,A/R,,,I,,,Live,SE/ME,,
Visualization,Terminal Narration,,,A/R,,,I,,,Live,SE/ME,Real-time processing log,
Visualization,Topology API Exposure,,I,A/R,,,,,,Live,SE/ME,Backend for Graph UI,
Workflow Orchestration,Run cancellation,,,,,,R,,,Live,SE/ME,,
Workflow Orchestration,Run creation & tracking,,,,,,R,,A/R,Live,SE/ME,,
Workflow Orchestration,Step sequencing,,,,,,C,,A/R,Live,SE/ME,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Console,Cron scheduler (background detection cycles),,,,,,,,A/R,Live,SE/ME/MA,asyncio background tasks. Per-module schedules. Configurable via console_config.,v8.1 NEW. Console-owned scheduling.
Console,Change detection orchestration,,,,,,,,A/R,Live,SE/ME,"Calls AOD/AAM/DCL APIs, diffs against snapshots, writes change_events.",v8.1 NEW.
Console,Change feed API (GET /api/changes),,,,,,,,A/R,Live,SE/ME,Unified time-ordered change events. Severity and module filtering. Acknowledge.,v8.1 NEW.
Console,Health aggregation (GET /api/health),,,,,,,,A/R,Live,SE/ME/MA,Parallel health checks against all 5 modules. 10s timeout. Composite status.,v8.1 NEW.
Console,Pipeline orchestration (POST /api/pipeline/run),,,,,,,,A/R,Live,SE/ME/MA,SE: Sequential HTTP calls: Farm Snapshot→AOD→Handoff→AAM→Farm Financials→DCL Ingest. ME: Farm (per entity)→Convergence (per entity)→COFA→Verify. Step timing. Run history.,"v8.1→v8.3: Added SE/ME pipeline distinction. ME routes to Convergence, not DCL."
Console,Module proxy routes (GET /api/proxy/{module}/*),,,,,,,,A/R,Live,SE/ME/MA,Forwards to module APIs. Solves CORS.,v8.1 NEW.
Console,Upload/parser (M&A intake),,,,,,,,A/R,On Docket,MA,"GL+CoA upload, parse, validate, convert to triples. Stub parser; real parser separate.",v8.1 NEW.
Console,Task queue (HITL execution),,,,,,,,A/R,On Docket,SE/ME/MA,"M proposes, operator approves, CC executes. Lifecycle: pending→approved→executing→done/failed.",v8.1 NEW.
Console,Engagement state management,,,,A/R,,,,C,Live,SE/ME/MA,Canonical owner is Convergence. Console proxies CRUD via HTTP. No local engagement table.,
Console,Deal cockpit (M&A command center),,,,,,,,A/R,Live,MA,"Lifecycle, conflict register, deliverables (10 items), combining preview, hard gates.",v8.1 NEW.
Console,Constitution editor,,,,,,,,A/R,On Docket,SE/ME/MA,Editable layers L0-L4 + Orchestrator. Tool registry. Module docs. Version history.,v8.1 NEW.
Console,Instrumentation (M run ledger + cost),,,,A/R,,,,C,Live,SE/ME/MA,Run ledger in Convergence. Console reads via HTTP. Cost aggregation TBD.,
Console,E2e demo orchestration,,,,,,,,A/R,Live,SE/ME/MA,SE and ME demos from Console Pipeline screen. Replaces Platform.,v8.1 NEW. Replaces Platform.
Console,Narrative editor (demo script),,,,,,,,A/R,On Docket,SE/ME/MA,YAML editor for tour steps/messages/timing. Reconstructed from Platform.,v8.1 NEW. Replaces Platform.
Console,Entity switcher (top bar),,,,,,,,A/R,Live,ME/MA,Entity or combined view. Hidden for SE. Passes context to iframed apps.,v8.1 NEW.
Console,Mode switching (SE/ME/MA + persona),,,,,,,,A/R,On Docket,SE/ME/MA,Future: product mode + persona determine nav. Not implemented in dev.,v8.1 NEW.
Console,Inspect surface (native DCL views),,,C,,,,,A/R,Live,SE/ME/MA,"Coverage, sources, COFA merge native. Lineage iframes DCL.",v8.1 NEW.
Console,Dashboards/Reports (iframe NLQ),,,,,C,,,A/R,Live,SE/ME/MA,Iframe NLQ for dashboards and reports. Entity context via query param.,v8.1 NEW.
Convergence Service,"Convergence backend (FastAPI, port 8010)",,,,A/R,,,,,Live,ME/MA,"Standalone service carved from DCL. Owns all ME engines, engagement lifecycle, resolution workspaces.",v8.2 NEW. Convergence carveout.
Convergence Service,"Convergence frontend (React, port 3010)",,,,A/R,,,,,Live,ME/MA,MergePanel and ME-specific UI. Standalone from DCL frontend.,v8.2 NEW. Convergence carveout.
Convergence Service,Engagement API (full CRUD + run ledger + reviews),,,,A/R,,,,,Live,ME/MA,"Canonical engagement CRUD, run_ledger, human_reviews. Platform + Console read/write via HTTP.",
Convergence Service,Schema contract (SCHEMA_CONTRACT.md),,,A/R,R,,,,,Live,SE/ME,DCL owns semantic_triples schema. Convergence reads. Breaking changes require coordination.,v8.2 NEW. Convergence carveout.
Convergence Service,Direct PG reads (SELECT only on DCL tables),,,,A/R,,,,,Live,ME/MA,"Convergence reads semantic_triples, dimension_values_v2, tenant_runs directly. No HTTP intermediary for report queries.",v8.2 NEW. Convergence carveout.
Convergence Service,Triple writes to convergence_triples,,,,A/R,,,,,Live,ME/MA,"Convergence writes ME triples (Farm ME financial triples, COFA mappings, conflict register, combining output) to convergence_triples in the Convergence schema. Never to DCL's semantic_triples. Convergence reads DCL-owned tables (SELECT only) for cross-reference.",
Pipeline Identity,Namespaced stage identifiers (run_id banned),,,,R,,,,A/R,Live,SE/ME,"run_id banned from all response payloads. Each stage uses namespaced ID (farm_manifest_id, aod_discovery_id, etc). Per pipeline_identity_architecture_v1.",v8.2 NEW. Identity architecture.
Pipeline Identity,Identity pair on every stage response (tenant_id + entity_id),,,,R,,,,A/R,Live,SE/ME,"Every stage response carries tenant_id (UUID, never displayed) + entity_id (business key, always displayed). 422 on missing.",v8.2 NEW. Identity architecture.
Pipeline Identity,Operator-facing run_name,,,,,,,,A/R,Live,SE/ME,SE: {entity_id}-{short_hash}. ME: {engagement_short_name}-{short_hash}. Visible on all operator surfaces.,v8.2 NEW. Identity architecture.
Pipeline Identity,Dropdown-only operator input (no typed IDs),,,,,,,,A/R,Live,SE/ME,Operators never type or paste an ID. All selection via dropdown populated from what exists.,v8.2 NEW. Identity architecture.
Pipeline Identity,"Expansion fields (source_rows, triples_written, expansion_factor)",,,C,C,,C,,A/R,Live,SE/ME,Every ingest response includes row expansion metrics. Transparency requirement.,v8.2 NEW. Identity architecture.
Mai Supervised Execution,Four-tier classification (Auto/Validate/Plan/Escalate),,,,,,,A/R,C,Live,SE/ME,mai_plans table (19 columns). Classification engine in Platform. 146+ tests zero regressions.,
Mai Supervised Execution,"Operator feed (card-based, tier badges)",,,,,,,,A/R,Live,SE/ME,Console operator feed with 30-second polling. Card-based UI with tier badges.,v8.2 NEW. Mai Phase 1.
Mai Supervised Execution,tenant_preferences table (12-key registry),,,,,,,A/R,C,On Docket,SE/ME,CHECK constraint enforcing 12-key registry. Phase 2 in progress.,
Triple Store,Atomic run_id swap (tenant_runs pointer table),,,A/R,R,,,,,Live,SE/ME,O(1) UPSERT replaces O(n) bulk UPDATE. Post-swap purge step deletes stale rows.,v8.2 NEW. DCL identity hardening.
Convergence Resolver,Identity resolver v2 module,,,,A/R,,,,,On Docket,Convergence,"convergence/engine/identity_resolver_v2/. Tiers 1-4 (identifier, normalized name, fuzzy, embedding). Per convergence_transition_master.",v8.5→v8.6 NEW.
Convergence Resolver,HITL resolution surface (Resolutions tab),,,,A/R,,,,,On Docket,Convergence,Convergence frontend engagement detail page. Accept/reject/defer. Keyboard-first. Bulk actions.,v8.5→v8.6 NEW.
Convergence Resolver,Resolver decisions persistence,,,,A/R,,,,,On Docket,Convergence,"resolver_decisions table in convergence_me_engagement schema. Keyed on content hashes, stale-flagged on SE refresh.",v8.5→v8.6 NEW.
Convergence Resolver,AOS output contract check (engagement creation gate),,,,A/R,,,,C,On Docket,Convergence,"Deterministic check at POST /api/convergence/engagements. Required namespaces present, properties populated. Not a Mai/Platform concern.","v8.5→v8.6 NEW. Contract check is Convergence pre-flight, not Mai."
Convergence Resolver,Engagement creation with contract gate,,,,A/R,,,,C,On Docket,Convergence,"POST /api/convergence/engagements. Pair selection, contract validation, me_tenant creation. Console read-only.",v8.5→v8.6 NEW.
Convergence Service,"Convergence workflow execution (COFA merge, combine, resolve, review)",,,,A/R,,,,C,On Docket,Convergence,"POST /api/convergence/workflow/*/run. Code-driven control flow, LLM as bounded reasoning step. Mai does not execute workflows. Per convergence_blueprint_master §5.4.",v8.5→v8.6 NEW. Mai/workflow separation.
Convergence Service,Convergence model_client (direct Anthropic SDK),,,,A/R,,,,,On Docket,Convergence,convergence/backend/llm/model_client.py. Structured LLM invocation per workflow. No dependency on Platform Mai for LLM access.,v8.5→v8.6 NEW.
Convergence Service,Workflow run ledger (GET /api/convergence/runs),,,,A/R,,,,C,On Docket,Convergence,Observability endpoint consumed by Mai concierge and Console monitoring. Returns structured run records.,v8.5→v8.6 NEW.
